"","Наименование пункта пропуска","Филиал","latitude","longitude","Федеральный округ","Вид","Количество","Год","Категория","Установлен / закрыт","Функционирует/не функционирует"
"263","Поронайск","Владивостокский","49.227984","143.116655","ДФО","МПП","0","2017","Число людей","установлен","нет"
"264","Посинь","Псковский","56.341761","28.248432","СЗФО","ЖДПП","0","2017","Число людей","установлен","нет"
"271","Псков","Псковский","57.814291","28.326674","СЗФО","РПП","0","2017","Число людей","установлен","нет"
"274","Разъезд Карьер 122 км","Ростовский","48.6833","39.75","ЮФО","ЖДПП","0","2017","Число людей","установлен","нет"
"275","Разъезд Выстрел","Белгородский","50.008735","38.19259","ЦФО","ЖДПП","0","2017","Число людей","установлен","нет"
"288","Саранск","Волгоградский","54.14783","45.221158","ПФО","ВПП","0","2017","Число людей","установлен","нет"
"289","Саратов (Гагарин)","Волгоградский","51.558451","46.031133","ПФО","ВПП","0","2017","Число людей","установлен","да"
"296","Симферополь","Крымский","44.961745","34.082217","ЮФО","ЖДПП","0","2017","Число людей","установлен","нет"
"297","Скангали","Псковский","56.8999","27.743","СЗФО","ЖДПП","0","2017","Число людей","установлен","нет"
"301","Советск (Русне, Юрбаркас)","Калининградский","55.084813","21.89674","СЗФО","РПП","0","2017","Число людей","установлен","нет"
"309","Сторожинец","Псковский","58.574516","27.829775","СЗФО","ОПП","0","2017","Число людей","установлен","нет"
"321","Тверь (Мигалово)","Центральный аппарат","56.829673","35.755184","ЦФО","ВПП","0","2017","Число людей","установлен","да"
"324","Тёткино","Брянский","51.2789","34.285","ЦФО","ЖДПП","0","2017","Число людей","установлен","нет"
"325","Тёткино (Бояро-Лежачи)","Брянский","51.24417","34.298149","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"327","Титовка","Ростовский","48.995","39.7369","ЮФО","АПП","0","2017","Число людей","установлен","нет"
"328","Тишанка","Белгородский","50.391387","37.467621","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"329","Тобольск (Ремезов)","Уральский","58.061721","68.330397","УФО","ВПП","0","2017","Число людей","установлен","нет"
"339","Убур-Тохтор","Читинский","50.4167","113.8333","ДФО","АПП","0","2017","Число людей","установлен","нет"
"341","Углегорск","Владивостокский","49.076574","142.033563","ДФО","МПП","0","2017","Число людей","установлен","нет"
"343","Ульяновск (Баратаевка)","Волгоградский","54.2648","48.2235","ПФО","ВПП","0","2017","Число людей","установлен","да"
"348","Ушаково","Хабаровский","51.883","126.5631","ДФО","СПП","0","2017","Число людей","установлен","нет"
"349","Уэлен","Владивостокский","66.157446","190.19614","ДФО","МПП","0","2017","Число людей","установлен","нет"
"365","Чертково","Ростовский","49.37829","40.145063","ЮФО","ЖДПП","0","2017","Число людей","установлен","нет"
"369","Шахтерск","Владивостокский","49.161656","142.057986","ДФО","МПП","0","2017","Число людей","установлен","да"
"372","Элиста","Волгоградский","46.369372","44.330585","ЮФО","ВПП","0","2017","Число людей","установлен","да"
"380","Абагайтуй","Читинский","49.5833","117.8167","ДФО","АПП","0","2018","Число людей","установлен","нет"
"385","Айнек-Гол","Читинский","50.3678","103.279","ДФО","АПП","0","2018","Число людей","установлен","нет"
"387","Александровск-Сахалинский","Владивостокский","50.894461","142.146687","ДФО","МПП","0","2018","Число людей","установлен","нет"
"388","Алтан","Читинский","49.8833","109.0667","ДФО","АПП","0","2018","Число людей","установлен","нет"
"395","Армянск","Крымский","46.115953","33.702811","ЮФО","ЖДПП","0","2018","Число людей","установлен","да"
"398","Аспайты","Новосибирский","50.3099","90.0221","СФО","АПП","0","2018","Число людей","установлен","нет"
"402","Багратионовск","Калининградский","54.3927","20.6475","СЗФО","ЖДПП","0","2018","Число людей","установлен","нет"
"404","Безымено","Белгородский","50.368527","35.756453","ЦФО","АПП","0","2018","Число людей","установлен","нет"
"405","Белая Березка","Брянский","52.3835","33.4804","ЦФО","АПП","0","2018","Число людей","установлен","нет"
"411","Благовещенск-1","Хабаровский","50.252764","127.547584","ДФО","ППП","0","2018","Число людей","установлен","нет"
"413","Большой Уссурийский","Хабаровский","48.347254","134.768252","ДФО","АПП","0","2018","Число людей","установлен","нет"
"425","Бускульский","Уральский","53.796262","61.157583","УФО","ЖДПП","0","2018","Число людей","установлен","нет"
"427","Валуйки","Белгородский","50.078024","38.176687","ЦФО","АПП","0","2018","Число людей","установлен","да"
"430","Варандей","Мурманский","68.800279","57.984684","СЗФО","МПП","0","2018","Число людей","установлен","да"
"431","Вергелевка","Белгородский","50.3108","36.5807","ЦФО","АПП","0","2018","Число людей","установлен","нет"
"443","Волошино","Ростовский","48.905176","39.918452","ЮФО","АПП","0","2018","Число людей","установлен","да"
"453","Гартмашевка","Белгородский","49.6034","39.9757","ЦФО","ЖДПП","0","2018","Число людей","установлен","нет"
"456","Глушково","Брянский","51.286303","34.731497","ЦФО","ЖДПП","0","2018","Число людей","установлен","да"
"457","Головчино","Белгородский","50.4348","35.8312","ЦФО","АПП","0","2018","Число людей","установлен","нет"
"458","Головчино","Белгородский","50.511166","35.825004","ЦФО","ЖДПП","0","2018","Число людей","установлен","да"
"467","Джалинда","Хабаровский","53.482007","123.888834","ДФО","СПП","0","2018","Число людей","установлен","нет"
"469","Джанкой","Крымский","45.709549","34.387751","ЮФО","ЖДПП","0","2018","Число людей","установлен","да"
"470","Диксон","Мурманский","73.505283051196","80.50357517791","СФО","МПП","0","2018","Число людей","установлен","нет"
"471","Долбино","Белгородский","50.7621","35.5521","ЦФО","ЖДПП","0","2018","Число людей","установлен","нет"
"473","Донецк (Северный)","Ростовский","48.34025","39.920856","ЮФО","АПП","0","2018","Число людей","установлен","нет"
"474","Дубки","Калининградский","55.066608","21.952485","СЗФО","АПП","0","2018","Число людей","установлен","да"
"476","Евпатория","Крымский","45.190034","33.373883","ЮФО","МПП","0","2018","Число людей","установлен","да"
"479","Железнодорожный","Калининградский","54.356622","21.323472","СЗФО","АПП","0","2018","Число людей","установлен","нет"
"481","Желтура","Читинский","50.4742","105.1031","ДФО","АПП","0","2018","Число людей","установлен","нет"
"488","Зерново","Брянский","52.192193","34.058658","ЦФО","АПП","0","2018","Число людей","установлен","нет"
"492","Иваново (Южный)","Центральный аппарат","56.942225012197","40.9305055","ЦФО","ВПП","0","2018","Число людей","установлен","нет"
"493","Ижевск","Волгоградский","55","55","ПФО","ВПП","0","2018","Число людей","установлен","нет"
"495","Илек-Пеньковка","Белгородский","50.751077","35.539322","ЦФО","ЖДПП","0","2018","Число людей","установлен","да"
"510","Кани-Курган","Хабаровский","50.197449","127.641475","ДФО","АПП","0","2018","Число людей","установлен","да"
"514","Кварцитный","Уральский","54.025807686913","61.745855156128","УФО","ЖДПП","0","2018","Число людей","установлен","нет"
"517","Клименки","Белгородский","50.0551","38.3698","ЦФО","АПП","0","2018","Число людей","установлен","нет"
"520","Константиновка","Хабаровский","49.6167","127.9833","ДФО","СПП","0","2018","Число людей","установлен","нет"
"522","Крабозаводский","Владивостокский","43.8262","146.7486","ДФО","МПП","0","2018","Число людей","установлен","нет"
"528","Крылово","Калининградский","54.3275","21.5533","СЗФО","АПП","0","2018","Число людей","установлен","нет"
